text,sentiment,negative_reason
Trudeau warns Canadians against splitting vote in dead heat federal election - National |  https://t.co/vEK0Bp7PRt  https://t.co/zEczZbJHYw . Trudeau is a liar that has no credibility to warn anyone of anything. He is a dope stunted child.,negative,tell lies
@JoJoFromJerz @atrupar Canadians however do not  Easy to look at maybe Terrible PM with his hidden agendas He just called an election in the middle of a pandemic and a terrifying fire season he wont be getting my vote,negative,calling election early
"everyone in the canadian election fucking sucks. Trudeau is a moron, O’Tool is a neofacist, Singh panders to the liberals(but not the left) way too hard, and the PPC is so irrelevant that i can’t even remember the guys name. FFS, anarchy now pls 🙏",negative,others
@glen_mcgregor @althiaraj What a stupid question to ask the PM two days before an election. WTH is wrong with Canadian press?,negative,others
@Sandy47005334 @CPC_HQ How much has the fool cost Canadians ? A 600 million vanity election.  $1.3 trillion debt. Fake everything and a mockery to us all. Vote Conservatives. #OTooleForPM,negative,economy
Amazing how many questions for Otoole about guns but the sexual harassment fiasco in Kitchener just disappeared! Wake up Canadians MSM is the Liberal party!#TrudeauCrimeMinister,negative,scandal
"@GloverAnnette72 @MelissaLantsman @CPC_HQ Annette, when do you stop being taken in by the flip flops once Cons get in trouble. Are you seriously not noticing this?  Have a look at OToole’s 6 different positions on assault rifles in the last 48 hours.",negative,gun control
@erinotoole Erin O'Toole parrots petroleum industry bullshit (blue hydrogen and carbon capture) while self-serving Singh attacks Trudeau's climate record and ignores O'Toole. Our country is hopeless.,negative,climate problem
"@canteach @JustinTrudeau Because he called an unnecessary election. Either he's selfish, overconfident or got some bad advice. Canadians don't like selfish decisions.",negative,calling election early
The best short analysis thus far on the election.  When the PM is in trouble he brings in US politics.  This is deceitful and ignores the issues that hurt Canadians.  Plus it fuels anti Americanism which is pathetic.,negative,others
@globalnews You know otoole is just going to suck big oils dick and kill the country with pollution.,negative,climate problem
"Trudeau warns Canadians against splitting vote in dead heat federal election  https://t.co/RgS4WwakeT GetlostTrudeau, you ruined recounted, an incompetent BOY",negative,others
@JaroGiesbrecht @JustinTrudeau Planting the seeds of hate in our #canadaelection   who you associate with matters  #cdnpoli #Toronto   Hate is hate   https://t.co/d9Hc2OObig,negative,others
"@iamSas This is embarrassing and disturbing. As someone from London Ontario, I am appalled and ashamed. TAKE NOTE: This is Otoole's Canada.  #Elxn44 ##IStandWithTrudeau #LiberalMajority #NeverVoteCPC",negative,others
"@Polysesouvient @timnaumetz Lol , it must sucks to know that your lies are being aired on a huge platform now for all of Canada to see. This election has damaged your reputation worse than anything before. An educated Canadian on gun laws is your enemy",negative,tell lies
@pdrobertson @Carolyn_Munro You want those big ugly guns legal to kill people. Otoole will be like Kenney. He is a disaster. Otoole won't make his cabinet vaccinate. Why. Covid will not go away. Yet he yelled and screamed all year about vaccines. Why?,negative,covid 
@globalnews Criminal behaviour but there’s Justin trying to blame OToole for it. Dirty politics creates bad behaviour.,negative,tell lies
we need these for that POS Trudeau and his stupid Carbon Tax…how does me spending more cut on GHG? It doesn’t cuz now i’m gonna start burning tires for shits and giggles…tax that loser #TrudeauMustGo,negative,economy
@JustinTrudeau on spending spree during election promising billions of debt but no Basic Income Program for Canadians living under poverty line. Shame on Trudeau… This is Canada and we have 5 million ppl going hungry every day.,negative,economy
"Worst election analysis I’ve ever seen in my life.  The hate filled media addled mind is a sick mind, and this display of anti-reality is prof of such!  #Elxn44  #cdnpoli",negative,others
"Canadians are fearful, angry, and tired of being lectured and let down by Trudeau. Conservatives get it. We cannot reward Trudeau for calling an unnecessary $600-million election in the middle of a pandemic.",negative,calling election early
"@DonMartinCTV @JustinTrudeau @erinotoole Disagree. Trudeau appears disgruntled, angry, rude, and desperate. He is flailing around aimlessly and relentlessly interrupting everyone else. That isn't galloping ahead of the others at all.",negative,tell lies
"@erinotoole There's the big lie, governments don't create jobs, ""clearly stated by Michelle Rempel after losing the 2015 election"" and they cannot guarantee job security yet @erinotoole claims he will do both.  He is a LIAR",negative,tell lies
#JustinTrudeau is killing it! I'd hate to be #Otoole right now.. poor Erin O'Toole looks lost..#Leadersdebate #VoteLiberal #istandWithTrudeau,positive,
OToole would kill us.  Otoole will kill us.  No negotiations.,negative,tell lies
"Canada will not be better for having had this election. Quebec is mad at English Canada, we have seen the rise of angry populists in the PPC who are not going away, and we are seeing real anger at our political class from Canadians.",negative,others
@ezralevant All Canadians should be terrified about what he’ll do if re-elected. He’s a petty vindictive person and he will turn the anger he’s received this election back on to us. It will be swift and brutal.,negative,others
"Good grief.  Watching broadcast tv, gasp.  Ads.  PC election ad: not what they will do for Canadians, but that Trudeau called an election before pandemic was over.  That, apparently, is the worst they could do for their trash ads.  Pathetic.",negative,others
"@roze_crown @JustinTrudeau It was a dishonest hypocritical remark. Just like nearly all of the Liberal talking points this election, dishonest fear mongering intended to divide Canadians.   https://t.co/wezeAtgA0E",negative,tell lies
"Hey neo-con Canadian, waste your vote on this POS so the conservatives don't get elected. I know many of you are hard-lining conservatives but holy shit I cannot in good faith say vote conservative this election.",negative,others
"WHIFF! Strike TWO! Trudeau fails again, arguing with O'Toole in a frantic busy way saying it is his responsibility to tell provinces what to do. Not the provinces. Wow!",negative,others
@OttawaCitizen Trudeau said the reason for this election is that he couldn't govern! He should resign but Trudeau has  NEVER held to account for any scandal. Most Canadians will give him a pass. Apathy. It's very sad.,negative,scandal
I am getting sick of both of them who have no platform plan that is executable -  @theJagmeetSingh and @erinotoole blaming Trudeau for all the world's problems and a global pandemic!! It's getting boring. #LeadersDebate  https://t.co/HWszAsCovy,negative,others
@AnnamiePaul bring this up at one of the debates maybe. Disgusting that Trudeau gov. is persecuting people whose only crime is revealing war crimes.,negative,tell lies
"@AndyFillmoreHFX Lies lies and more lies. What exactly has Trudeau and you done for Canadians. Given away billions while ignoring First Nations people concerned about poisoned water. But your going to fix that during the election, right?",negative,tell lies
How can you call it a debate when the only REAL opposition was excluded? The biggest election meddling and fraud I've ever seen. A bunch of globalist lying to Canadians. Ridiculous and not worth watching! So I didn't. #VotePPC for Canada!,negative,others
@NickKouvalis Global affairs has been completey sidelined in this election and that is quite tragic and also dangerous. The chaotic global order will have a further mayhem and Canada is just not there. As a Canadian that worries me to no end.,negative,others
"#YEG you can do this! Fuck Kenney, fuck OToole, ammiright?! #AnythingButConservative in Alberta! Give anyone else a seat! HIT THE CONS WHERE IT HURTS EDMONTON! #Elxn44",negative,others
"@JustinTrudeau Justin, rifles don’t hurt people. Criminals do. One way or the other criminals will get their hands in weapons. Let’s work on the underlying issues that lead to these acts. Voting for Otoole in 2021",positive,
"Like him or not, there ain’t nobody to support but #JustinTrudeau in the Canadian election.   Fuck Jagmeet Singh !!   No rational Indian can support a politician who is a Sikh Separatist.  Hell no !!",negative,others
"@acoyne Why should Canadians give Trudeau, Garneau etc another mandate when they willingly chose to have an election, not focusing on Canadians trapped in Afghanistan facing starvation, abuse &amp; death by crazy Taliban",negative,others
Canadians look at this Shameless ex wife &amp;the worst woman Sophie and worst PM Trudeau in Canada history. CANADA WILL NEVER GIVE this Collapsed family Trudeau  A MAJORITY! HE WILL BE THROWN OUT OF THE LIBERAL PARTY AS A RESULT OF THIS USELESS ELECTION!,negative,tell lies
